==========================TRAIN LOG==================================
[04:19:43] [Batch 0] | Epoch 0] Loss: 7.3390 = 6.9688 + 0.0066 + 0.3637
[04:19:44] [Batch 0] | Epoch 1] Loss: 7.0173 = 6.9375 + 0.0079 + 0.0719
[04:19:44] [Batch 0] | Epoch 2] Loss: 6.9028 = 6.8750 + 0.0054 + 0.0224
[04:19:44] [Batch 0] | Epoch 3] Loss: 6.7661 = 6.7500 + 0.0069 + 0.0092
[04:19:44] [Batch 0] | Epoch 4] Loss: 6.4219 = 6.4062 + 0.0109 + 0.0048
[04:19:45] [Batch 0] | Epoch 5] Loss: 5.3577 = 5.3438 + 0.0110 + 0.0030
[04:19:45] [Batch 0] | Epoch 6] Loss: 2.5259 = 2.5156 + 0.0080 + 0.0022
[04:19:45] [Batch 0] | Epoch 7] Loss: 0.7881 = 0.7422 + 0.0440 + 0.0019
[04:19:45] [Batch 0] | Epoch 8] Loss: 0.3302 = 0.2812 + 0.0473 + 0.0017
[04:19:45] [Batch 0] | Epoch 9] Loss: 0.1695 = 0.1069 + 0.0609 + 0.0017
[04:19:46] [Batch 0] | Epoch 10] Loss: 0.0728 = 0.0364 + 0.0348 + 0.0016
