==========================TRAIN LOG==================================
[04:28:40] [Batch 0] | Epoch 0] Loss: 8.6820 = 8.3125 + 0.0139 + 0.3556
[04:28:41] [Batch 0] | Epoch 1] Loss: 8.3985 = 8.3125 + 0.0147 + 0.0713
[04:28:41] [Batch 0] | Epoch 2] Loss: 8.2853 = 8.2500 + 0.0130 + 0.0223
[04:28:41] [Batch 0] | Epoch 3] Loss: 8.2107 = 8.1875 + 0.0140 + 0.0092
[04:28:41] [Batch 0] | Epoch 4] Loss: 7.8341 = 7.8125 + 0.0168 + 0.0048
[04:28:41] [Batch 0] | Epoch 5] Loss: 6.4542 = 6.4375 + 0.0137 + 0.0030
[04:28:42] [Batch 0] | Epoch 6] Loss: 3.1016 = 3.0625 + 0.0369 + 0.0022
[04:28:42] [Batch 0] | Epoch 7] Loss: 1.2228 = 1.0703 + 0.1506 + 0.0019
[04:28:42] [Batch 0] | Epoch 8] Loss: 0.4729 = 0.3711 + 0.1000 + 0.0018
[04:28:42] [Batch 0] | Epoch 9] Loss: 0.1520 = 0.1206 + 0.0298 + 0.0016
[04:28:43] [Batch 0] | Epoch 10] Loss: 0.0880 = 0.0430 + 0.0434 + 0.0016
---------------------------------------------------------------------------
[04:29:00] [Batch 1] | Epoch 0] Loss: 9.2720 = 8.8750 + 0.0485 + 0.3485
[04:29:00] [Batch 1] | Epoch 1] Loss: 8.8674 = 8.7500 + 0.0481 + 0.0694
[04:29:00] [Batch 1] | Epoch 2] Loss: 8.8173 = 8.7500 + 0.0456 + 0.0217
[04:29:00] [Batch 1] | Epoch 3] Loss: 8.6158 = 8.5625 + 0.0442 + 0.0091
[04:29:01] [Batch 1] | Epoch 4] Loss: 8.1734 = 8.1250 + 0.0436 + 0.0048
[04:29:01] [Batch 1] | Epoch 5] Loss: 6.3792 = 6.3438 + 0.0324 + 0.0031
[04:29:01] [Batch 1] | Epoch 6] Loss: 5.4166 = 5.3438 + 0.0706 + 0.0023
[04:29:01] [Batch 1] | Epoch 7] Loss: 4.1238 = 4.0000 + 0.1219 + 0.0019
[04:29:01] [Batch 1] | Epoch 8] Loss: 2.8740 = 2.7500 + 0.1223 + 0.0017
[04:29:02] [Batch 1] | Epoch 9] Loss: 1.4702 = 1.3594 + 0.1093 + 0.0016
[04:29:02] [Batch 1] | Epoch 10] Loss: 0.3755 = 0.2832 + 0.0908 + 0.0015
[04:29:02] [Batch 1] | Epoch 11] Loss: 0.1451 = 0.0520 + 0.0917 + 0.0014
---------------------------------------------------------------------------
[04:29:19] [Batch 2] | Epoch 0] Loss: 21.6645 = 21.2500 + 0.0516 + 0.3629
[04:29:19] [Batch 2] | Epoch 1] Loss: 21.3700 = 21.2500 + 0.0466 + 0.0735
[04:29:19] [Batch 2] | Epoch 2] Loss: 21.2048 = 21.1250 + 0.0559 + 0.0239
